title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url
Using super resolution microscopy to investigate the role of actin in adenosine receptor organisation,Evelyn Garlick,https://eprints.nottingham.ac.uk/72356/1/Thesis%20EGarlick%20Corrections%20Final%20PDF.pdf,312,https://github.com/biologevie/thesis-scripts,github.com/biologevie/thesis-scripts,biologevie/thesis-scripts
Using super resolution microscopy to investigate the role of actin in adenosine receptor organisation,Evelyn Garlick,https://eprints.nottingham.ac.uk/72356/1/Thesis%20EGarlick%20Corrections%20Final%20PDF.pdf,312,https://github.com/biologevie/actin-analysis.,github.com/biologevie/actin-analysis,biologevie/actin-analysis
"The relationship between musical sophistication, executive functions and autistic traits",Zhong Jian Chee,https://eprints.nottingham.ac.uk/72331/1/Chee%20Zhong%20Jian%20%2818023577%29-Thesis_final.pdf,161,https://github.com/ethereum/wiki/wiki/W,github.com/ethereum/wiki,ethereum/wiki
"The relationship between musical sophistication, executive functions and autistic traits",Zhong Jian Chee,https://eprints.nottingham.ac.uk/72331/1/Chee%20Zhong%20Jian%20%2818023577%29-Thesis_final.pdf,170,https://github.com/singmann/afex,github.com/singmann/afex,singmann/afex
Digitally enhanced consumer packaged goods: a data-inspired ideation approach,Jose Gustavo Berumen Salazar,https://eprints.nottingham.ac.uk/69815/1/GustavoBerumen_Thesis_Corrections_22Aug.pdf,296,https://github.com/GustavoBerumen/CookingProject,github.com/GustavoBerumen/CookingProject,GustavoBerumen/CookingProject
Audio augmented objects and the audio augmented reality experience,Laurence Cliffe,https://eprints.nottingham.ac.uk/69795/1/laurence-cliffe-thesis-corrections-v1.pdf,201,https://github.com/bjarnel/arkit-occlusion,github.com/bjarnel/arkit-occlusion,bjarnel/arkit-occlusion
A bioinformatic analysis of the Duchenne muscular dystrophy gene and associated gene variants across human cancers,Lee Machado,https://eprints.nottingham.ac.uk/71572/1/Machado%20MRes%20thesis%20FINAL.pdf,42,https://github.com/lrmacha/TCGA,github.com/lrmacha/TCGA,lrmacha/TCGA
Ecological interactions between two natural enemies of the Light Brown Apple Moth,Emma Aspin,https://eprints.nottingham.ac.uk/71508/1/FINAL%20THESIS%20-%20post%20viva%2C%20completed%2C%20signed.pdf,55,https://github.com/therneau/survival.,github.com/therneau/survival,therneau/survival
Characterisation of glioblastoma sub-populations using mathematical modelling and inference,Bethan Edith Morris,https://eprints.nottingham.ac.uk/71731/1/thesis.pdf,81,https://github.com/scmassey/model-sensitivity-analysis,github.com/scmassey/model-sensitivity-analysis,scmassey/model-sensitivity-analysis
Towards uncertainty-aware and label-efficient machine learning of human expressive behaviour,Mani Kumar Tellamekala,https://eprints.nottingham.ac.uk/71876/1/Mani_PhD_Thesis_with_Final_Corrections.pdf,94,https://github.com/aqeelanwar/MaskTheFace,github.com/aqeelanwar/MaskTheFace,aqeelanwar/MaskTheFace
