title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url,date,year,eprints_repo
Neurobiologically Based Stratification of Recent Onset Depression and Psychosis: Identification of Two Distinct Transdiagnostic Phenotypes,Paris Alexandros Lalousis,https://publications.aston.ac.uk/id/eprint/43710/1/1_s2.0_S0006322322011568_main.pdf,9,https://github.com/anbai106/pyHYDRA),github.com/anbai106/pyHYDRA,anbai106/pyHYDRA,2022-10-01,2022.0,publications.aston.ac.uk
Neurobiologically Based Stratification of Recent Onset Depression and Psychosis: Identification of Two Distinct Transdiagnostic Phenotypes,Paris Alexandros Lalousis,https://publications.aston.ac.uk/id/eprint/43710/1/1_s2.0_S0006322322011568_main.pdf,10,https://github.com/Jfortin1/ComBatHarmonization).,github.com/Jfortin1/ComBatHarmonization,Jfortin1/ComBatHarmonization,2022-10-01,2022.0,publications.aston.ac.uk
cyberaCTIve: a STIX-based Tool for Cyber Threat Intelligence in Complex Models,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43716/1/2204.03676.pdf,2,https://github.com/STIX-Modeler/UI.,github.com/STIX-Modeler/UI,STIX-Modeler/UI,2022-04-07,2022.0,publications.aston.ac.uk
"Global Community Guidelines for Documenting, Sharing, and Reusing Quality Information of Individual Digital Datasets",Ge Peng,https://publications.aston.ac.uk/id/eprint/43583/6/1423_10305_1_PB.pdf,17,https://github.com/AtMoDat/maturity-indicator.,github.com/AtMoDat/maturity-indicator,AtMoDat/maturity-indicator,2022-03-31,2022.0,publications.aston.ac.uk
Consent Receipts For a Usable And Auditable Web of Personal Data,Vitor Jesus,https://publications.aston.ac.uk/id/eprint/43636/1/Consent_Receipts_for_a_Usable_and_Auditable_Web_of_Personal_Data.pdf,6,https://github.com/EBISPOT/DUO,github.com/EBISPOT/DUO,EBISPOT/DUO,2022-03-08,2022.0,publications.aston.ac.uk
Fruit quality and defect image classification with conditional GAN data augmentation,Jordan J. Bird,https://publications.aston.ac.uk/id/eprint/43259/1/2104.05647.pdf,1,https://github.com/jordan-bird/synthetic-fruit-image-generator,github.com/jordan-bird/synthetic-fruit-image-generator,jordan-bird/synthetic-fruit-image-generator,2022-02-05,2022.0,publications.aston.ac.uk
Fruit quality and defect image classification with conditional GAN data augmentation,Jordan J. Bird,https://publications.aston.ac.uk/id/eprint/43259/1/2104.05647.pdf,15,"https://github.com/softwaremill/lemon-dataset,",github.com/softwaremill/lemon-dataset,softwaremill/lemon-dataset,2022-02-05,2022.0,publications.aston.ac.uk
Investigating the effects of FoxO transcriptional activity on metabolic homeostasis,Lauren Rachel McDonagh,https://publications.aston.ac.uk/id/eprint/44225/1/MCDONAGH_LAUREN_RACHEL_2022.pdf,318,https://github.com/galaxyproject/tools-,github.com/galaxyproject/tools-,galaxyproject/tools-iuc,2022-02-01,2022.0,publications.aston.ac.uk
Organism-Specific Training Improves Performance of Linear B-Cell Epitope Prediction,Jodie Ashford,https://publications.aston.ac.uk/id/eprint/42868/6/btab536.pdf,0,https://github.com/fcampelo/OrgSpec-paper.,github.com/fcampelo/OrgSpec-paper,fcampelo/OrgSpec-paper,2021-12-15,2021.0,publications.aston.ac.uk
Organism-Specific Training Improves Performance of Linear B-Cell Epitope Prediction,Jodie Ashford,https://publications.aston.ac.uk/id/eprint/42868/6/btab536.pdf,0,https://github.com/fcampelo/epitopes.,github.com/fcampelo/epitopes,fcampelo/epitopes,2021-12-15,2021.0,publications.aston.ac.uk
A cross-technology benchmark for incremental graph queries,Georg Hinkel,https://publications.aston.ac.uk/id/eprint/43344/1/Hinkel2021_Article_ACross_technologyBenchmarkForI.pdf,22,https://github.com/TimelyDataﬂow/Naiad,github.com/TimelyDataflow/Naiad,TimelyDataflow/Naiad,2021-12-08,2021.0,publications.aston.ac.uk
A cross-technology benchmark for incremental graph queries,Georg Hinkel,https://publications.aston.ac.uk/id/eprint/43344/1/Hinkel2021_Article_ACross_technologyBenchmarkForI.pdf,22,https://github.com/TimelyDataﬂow/timely-dataﬂow.,github.com/TimelyDataflow/timely-dataflow,TimelyDataflow/timely-dataflow,2021-12-08,2021.0,publications.aston.ac.uk
A cross-technology benchmark for incremental graph queries,Georg Hinkel,https://publications.aston.ac.uk/id/eprint/43344/1/Hinkel2021_Article_ACross_technologyBenchmarkForI.pdf,22,https://github.com/TimelyDataﬂow/differential-dataﬂow.,github.com/TimelyDataflow/differential-dataflow,TimelyDataflow/differential-dataflow,2021-12-08,2021.0,publications.aston.ac.uk
Similarity Search over Network Structure,Fan Wang,https://publications.aston.ac.uk/id/eprint/44226/1/WANG_Fan_2021.pdf,193,https://github.com/helixhorned/metis/tree/pk.,github.com/helixhorned/metis,helixhorned/metis,2021-12-01,2021.0,publications.aston.ac.uk
Similarity Search over Network Structure,Fan Wang,https://publications.aston.ac.uk/id/eprint/44226/1/WANG_Fan_2021.pdf,194,https://github.com/dgleich/metismex.,github.com/dgleich/metismex,dgleich/metismex,2021-12-01,2021.0,publications.aston.ac.uk
Axiomatic Reals and Certified Efficient Exact Real Computation,Michal Konečný,https://publications.aston.ac.uk/id/eprint/43083/1/WoLLIC2021_paper_28.pdf,8,https://github.com/holgerthies/coq-aern,github.com/holgerthies/coq-aern,holgerthies/coq-aern,2021-11-17,2021.0,publications.aston.ac.uk
Genome-wide association studies reveal the role of polymorphisms affecting factor H binding protein expression in host invasion by Neisseria meningitidis,Sarah G Earle,https://publications.aston.ac.uk/id/eprint/43436/1/journal.ppat.1009992.pdf,14,https://github.com/sgearle/bugwas),github.com/sgearle/bugwas,sgearle/bugwas,2021-10-18,2021.0,publications.aston.ac.uk
Genome-wide association studies reveal the role of polymorphisms affecting factor H binding protein expression in host invasion by Neisseria meningitidis,Sarah G Earle,https://publications.aston.ac.uk/id/eprint/43436/1/journal.ppat.1009992.pdf,14,http://github.com/jessiewu/bacterialGWAS.,github.com/jessiewu/bacterialGWAS,jessiewu/bacterialGWAS,2021-10-18,2021.0,publications.aston.ac.uk
Encephalitis patient-derived monoclonal GABAA receptor antibodies cause epileptic seizures,Jakob Kreye,https://publications.aston.ac.uk/id/eprint/43131/1/2021.01.28.428602v1.full.pdf,27,https://github.com/automatedSequencing/BASE.,github.com/automatedSequencing/BASE,automatedSequencing/BASE,2021-09-21,2021.0,publications.aston.ac.uk
Measuring the effectiveness and impact of COVID-19 health policies on firms and UNSDGs:evidence from China,Minhua Yang,https://publications.aston.ac.uk/id/eprint/43154/1/Measuring_the_effectiveness_and_impact.pdf,4,https://github.com/CSSEGISandData/COVID-19/,github.com/CSSEGISandData/COVID-,CSSEGISandData/COVID-19,2021-09-15,2021.0,publications.aston.ac.uk
"Child, parent, and family mental health and functioning in Australia during COVID-19:comparison to pre-pandemic data",E. M. Westrupp,https://publications.aston.ac.uk/id/eprint/43075/1/PRE_PRINT_Westrupp_et_al_CPAS_family_outcomes.pdf,17,https://github.com/nimh-mbdu/CRISIS.,github.com/nimh-mbdu/CRISIS,nimh-mbdu/CRISIS,2021-08-21,2021.0,publications.aston.ac.uk
Insights into Blockchain Implementation in Construction:Models for Supply Chain Management,Algan Tezel,https://publications.aston.ac.uk/id/eprint/43065/1/Insights_into_Blockchain_Implementation_in_Construction.pdf,15,https://github.com/huddersfield-uni-smart-contracts/auction.eth),github.com/huddersfield-uni-smart-contracts/auction,huddersfield-uni-smart-contracts/auction.eth,2021-07-01,2021.0,publications.aston.ac.uk
Insights into Blockchain Implementation in Construction:Models for Supply Chain Management,Algan Tezel,https://publications.aston.ac.uk/id/eprint/43065/1/Insights_into_Blockchain_Implementation_in_Construction.pdf,16,https://github.com/huddersfield-uni-smart-contracts/tokenit.eth),github.com/huddersfield-uni-smart-contracts/tokenit,huddersfield-uni-smart-contracts/tokenit.eth,2021-07-01,2021.0,publications.aston.ac.uk
