title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url
Geospatial User Feedback: how to raise users’ voice and collectively build knowledge at the same time,Alaitz Zabala,https://publications.aston.ac.uk/id/eprint/42360/1/ijgi-10-00141.pdf,11,https://github.com/ec-nextgeoss/nextgeoss-integration-guide-um,github.com/ec-nextgeoss/nextgeoss-integration-guide-um,ec-nextgeoss/nextgeoss-integration-guide-um
Geospatial User Feedback: how to raise users’ voice and collectively build knowledge at the same time,Alaitz Zabala,https://publications.aston.ac.uk/id/eprint/42360/1/ijgi-10-00141.pdf,15,https://github.com/grumets/nimmbus/tree/master/GUF_integration,github.com/grumets/nimmbus,grumets/nimmbus
Geospatial User Feedback: how to raise users’ voice and collectively build knowledge at the same time,Alaitz Zabala,https://publications.aston.ac.uk/id/eprint/42360/1/ijgi-10-00141.pdf,17,https://github.com/dewitt/opensearch/blob/master/opensearch-1-1-draft-6.md,github.com/dewitt/opensearch,dewitt/opensearch
Low-NO atmospheric oxidation pathways in a polluted megacity,Mike J. Newland,https://publications.aston.ac.uk/id/eprint/42343/1/acp_21_1613_2021.pdf,8,https://github.com/geoschem/geos-chem,github.com/geoschem/geos-chem,geoschem/geos-chem
A Socially Interactive Multimodal Human-Robot Interaction Framework through Studies on Machine and Deep Learning,Jordan James Bird,https://publications.aston.ac.uk/id/eprint/43472/1/BIRD_JORDAN_JAMES_2021.pdf,172,https://github.com/jordan-bird/eeg-feature-generation/,github.com/jordan-bird/eeg-feature-generation,jordan-bird/eeg-feature-generation
A Socially Interactive Multimodal Human-Robot Interaction Framework through Studies on Machine and Deep Learning,Jordan James Bird,https://publications.aston.ac.uk/id/eprint/43472/1/BIRD_JORDAN_JAMES_2021.pdf,218,https://github.com/jordan-bird/Unity-Image-Dataset-,github.com/jordan-bird/Unity-Image-Dataset-,jordan-bird/Unity-Image-Dataset-Collector
An Efficient Industrial System for Vehicle Tyre (Tire) Detection and Text Recognition Using Deep Learning,Wajahat Kazmi,https://publications.aston.ac.uk/id/eprint/41147/1/08968735.pdf,4,https://github.com/quantombone/exemplarsvm/tree/,github.com/quantombone/exemplarsvm,quantombone/exemplarsvm
An Efficient Industrial System for Vehicle Tyre (Tire) Detection and Text Recognition Using Deep Learning,Wajahat Kazmi,https://publications.aston.ac.uk/id/eprint/41147/1/08968735.pdf,4,https://github.com/pdollar/edges,github.com/pdollar/edges,pdollar/edges
Unsupervised detection of security threats in cyberphysical system and IoT devices based on power fingerprints and RBM autoencoders,Abdurhman Albasir,https://publications.aston.ac.uk/id/eprint/42749/1/Unsupervised_detection_of_security_threats_in_cyberphysical_system_and_IoT_devices.pdf,24,https://github.com/NewEraCracker/LOIC,github.com/NewEraCracker/LOIC,NewEraCracker/LOIC
FSS-2019-nCov:A deep learning architecture for semi-supervised few-shot segmentation of COVID-19 infection,Mohamed Abdel-Basset,https://publications.aston.ac.uk/id/eprint/43897/1/21_10_2020_FSS_2019_nCOV_VC_clean.pdf,8,https://github.com/xmengli999/H-DenseUNet,github.com/xmengli999/H-DenseUNet,xmengli999/H-DenseUNet
FSS-2019-nCov:A deep learning architecture for semi-supervised few-shot segmentation of COVID-19 infection,Mohamed Abdel-Basset,https://publications.aston.ac.uk/id/eprint/43897/1/21_10_2020_FSS_2019_nCOV_VC_clean.pdf,8,https://github.com/MrGiovanni/UNetPlusPlus,github.com/MrGiovanni/UNetPlusPlus,MrGiovanni/UNetPlusPlus
FSS-2019-nCov:A deep learning architecture for semi-supervised few-shot segmentation of COVID-19 infection,Mohamed Abdel-Basset,https://publications.aston.ac.uk/id/eprint/43897/1/21_10_2020_FSS_2019_nCOV_VC_clean.pdf,8,https://github.com/alexgkendall/caffe-segnet,github.com/alexgkendall/caffe-segnet,alexgkendall/caffe-segnet
FSS-2019-nCov:A deep learning architecture for semi-supervised few-shot segmentation of COVID-19 infection,Mohamed Abdel-Basset,https://publications.aston.ac.uk/id/eprint/43897/1/21_10_2020_FSS_2019_nCOV_VC_clean.pdf,8,https://github.com/BVLC/caffe/wiki/Model-Zoo#fcn,github.com/BVLC/caffe,BVLC/caffe
FSS-2019-nCov:A deep learning architecture for semi-supervised few-shot segmentation of COVID-19 infection,Mohamed Abdel-Basset,https://publications.aston.ac.uk/id/eprint/43897/1/21_10_2020_FSS_2019_nCOV_VC_clean.pdf,8,https://github.com/tensorflow/models/tree/master/research/deeplab,github.com/tensorflow/models,tensorflow/models
FSS-2019-nCov:A deep learning architecture for semi-supervised few-shot segmentation of COVID-19 infection,Mohamed Abdel-Basset,https://publications.aston.ac.uk/id/eprint/43897/1/21_10_2020_FSS_2019_nCOV_VC_clean.pdf,8,https://github.com/abhi4ssj/few-shot-segmentation.,github.com/abhi4ssj/few-shot-segmentation,abhi4ssj/few-shot-segmentation
Evaluating Automatically Generated YARA Rules and Enhancing Their Effectiveness,Nitin Naik,https://publications.aston.ac.uk/id/eprint/42241/1/Comparison_YARA_Rules_Generation_Tools.pdf,7,https://github.com/Neo23x0/yarGen,github.com/Neo23x0/yarGen,Neo23x0/yarGen
Evaluating Automatically Generated YARA Rules and Enhancing Their Effectiveness,Nitin Naik,https://publications.aston.ac.uk/id/eprint/42241/1/Comparison_YARA_Rules_Generation_Tools.pdf,7,https://github.com/Xen0ph0n/YaraGenerator,github.com/Xen0ph0n/YaraGenerator,Xen0ph0n/YaraGenerator
Fuzzy Hashing Aided Enhanced YARA Rules for Malware Triaging,Nitin Naik,https://publications.aston.ac.uk/id/eprint/42242/1/Enhanced_YARA_Rules.pdf,7,https://github.com/Neo23x0/yarGen,github.com/Neo23x0/yarGen,Neo23x0/yarGen
Abstractive Multi-Document Summarization based on Semantic Link Network,Wei Li,https://publications.aston.ac.uk/id/eprint/39247/1/IEEE_TKDE_Li_Zhuge_2019_SLN_REF.pdf,3,https://github.com/weili-ict/EventSchemasBasedOnFrameNet,github.com/weili-ict/EventSchemasBasedOnFrameNet,weili-ict/EventSchemasBasedOnFrameNet
Abstractive Multi-Document Summarization based on Semantic Link Network,Wei Li,https://publications.aston.ac.uk/id/eprint/39247/1/IEEE_TKDE_Li_Zhuge_2019_SLN_REF.pdf,13,https://github.com/Aureliu/BIU-RPI-Event-Extraction-Project,github.com/Aureliu/BIU-RPI-Event-Extraction-Project,Aureliu/BIU-RPI-Event-Extraction-Project
Abstractive Multi-Document Summarization based on Semantic Link Network,Wei Li,https://publications.aston.ac.uk/id/eprint/39247/1/IEEE_TKDE_Li_Zhuge_2019_SLN_REF.pdf,13,https://github.com/bishanyang/EventEntityExtractor,github.com/bishanyang/EventEntityExtractor,bishanyang/EventEntityExtractor
Intra- and inter-hemispheric structural connectome in agenesis of the corpus callosum,Minghui Shi,https://publications.aston.ac.uk/id/eprint/42800/1/1_s2.0_S2213158221001534_main.pdf,3,https://github.com/danizoeller/myPLS,github.com/danizoeller/myPLS,danizoeller/myPLS
Governing Principles of Self-Sovereign Identity Applied to Blockchain Enabled Privacy Preserving Identity Management Systems,Nitin Naik,https://publications.aston.ac.uk/id/eprint/42146/1/Principles_of_SSI_DrNitinNaik.pdf,5,https://github.com/ChristopherA/self-sovereign-identity/blob/,github.com/ChristopherA/self-sovereign-identity,ChristopherA/self-sovereign-identity
uPort Open-Source Identity Management System: An Assessment of Self-Sovereign Identity and User-Centric Data Platform Built on Blockchain,Nitin Naik,https://publications.aston.ac.uk/id/eprint/42147/1/uPort_SSI_DrNitinNaik.pdf,6,https://github.com/ChristopherA/self-sovereign-identity/blob/,github.com/ChristopherA/self-sovereign-identity,ChristopherA/self-sovereign-identity
Self-reported impulsivity does not predict response caution,Craig Hedge,https://publications.aston.ac.uk/id/eprint/42686/1/Self_reported_impulsivity_does_not_predict_response_caution.pdf,6,https://github.com/jasonwgriffin/metapower.,github.com/jasonwgriffin/metapower,jasonwgriffin/metapower
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,2,https://github.com/ames-market/psst.,github.com/ames-market/psst,ames-market/psst
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,3,"https://github.com/caxqueiroz/scadasim,",github.com/caxqueiroz/scadasim,caxqueiroz/scadasim
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,4,https://github.com/cuihantao/andes.,github.com/cuihantao/andes,cuihantao/andes
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,4,https://github.com/IntegrCiTy/zerobnl.,github.com/IntegrCiTy/zerobnl,IntegrCiTy/zerobnl
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,5,https://github.com/taqen/asgrids/tree/appeec19.,github.com/taqen/asgrids,taqen/asgrids
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,5,https://github.com/pnnl/tesp/.,github.com/pnnl/tesp,pnnl/tesp
Tools for modelling and simulating the Smart Grid,Ricardo M. Czekster,https://publications.aston.ac.uk/id/eprint/43412/1/2011.07968v3.pdf,6,https://github.com/finger563/webgme-gridlabd.,github.com/finger563/webgme-gridlabd,finger563/webgme-gridlabd
A Toolkit to Generate Social Navigation Datasets,Rishabh Baghel,https://publications.aston.ac.uk/id/eprint/42115/1/2009.05345.pdf,12,https://github.com/ljmanso/sonata,github.com/ljmanso/sonata,ljmanso/sonata
Graph Neural Networks for Human-aware Social Navigation,Luis J. Manso,https://publications.aston.ac.uk/id/eprint/42116/1/1909.09003.pdf,10,https://github.com/robocomp/sngnn,github.com/robocomp/sngnn,robocomp/sngnn
Multi-camera Torso Pose Estimation using Graph Neural Networks,Daniel Rodriguez-Criado,https://publications.aston.ac.uk/id/eprint/41864/1/2007.14126.pdf,0,https://github.com/vangiel/WheresTheFellow,github.com/vangiel/WheresTheFellow,vangiel/WheresTheFellow
"COVID-19 Optimizer Algorithm, Modeling and Controlling of Coronavirus Distribution Process",Eghbal Hosseini,https://publications.aston.ac.uk/id/eprint/41768/6/JBHI_Optimisation_COVID19_AcceptedVersion.pdf,0,https://github.com/eghbal11/Eghbal/blob/master/CVA.m,github.com/eghbal11/Eghbal,eghbal11/Eghbal
MOEA/D with Random Partial Update Strategy,Yuri Lavinas,https://publications.aston.ac.uk/id/eprint/41923/1/cec_2020_manuscript.pdf,4,https://github.com/yclavinas/MOEADr/tree/cec2020,github.com/yclavinas/MOEADr,yclavinas/MOEADr
Automated Verification of Care Pathways Using Constraint Programming,Renan Pereira De Figueiredo,https://publications.aston.ac.uk/id/eprint/41292/1/09017991.pdf,3,https://github.com/CarePathwayModeler/pathwayMetamodel.git,github.com/CarePathwayModeler/pathwayMetamodel,CarePathwayModeler/pathwayMetamodel
Automated Verification of Care Pathways Using Constraint Programming,Renan Pereira De Figueiredo,https://publications.aston.ac.uk/id/eprint/41292/1/09017991.pdf,4,https://github.com/carepathways/Pathway-Veriﬁcation.git,github.com/carepathways/Pathway-Verification,carepathways/Pathway-Verification
Generic autonomic adapter architecture and policy model for semantic socio-cyber-physical collaborative network,Nazmul Hussain,https://publications.aston.ac.uk/id/eprint/42599/1/HUSSAIN_NAZMUL_129143662_2020.pdf,40,https://github.com/protegeproject/swrlapi/wiki/SWRLLanguageFAQ,github.com/protegeproject/swrlapi,protegeproject/swrlapi
Generic autonomic adapter architecture and policy model for semantic socio-cyber-physical collaborative network,Nazmul Hussain,https://publications.aston.ac.uk/id/eprint/42599/1/HUSSAIN_NAZMUL_129143662_2020.pdf,158,https://github.com/nhussain920/thesis_source_code.,github.com/nhussain920/thesis_source_code,nhussain920/thesis_source_code
Embedding Fuzzy Rules with YARA Rules for Performance Optimisation of Malware Analysis,Nitin Naik,https://publications.aston.ac.uk/id/eprint/42062/1/FUZZ_IEEE_20_Embedded_YARA_Rules.pdf,6,https://github.com/Neo23x0/yarGen,github.com/Neo23x0/yarGen,Neo23x0/yarGen
NUTMEG:Open Source Software for M/EEG Source Reconstruction,Leighton B.N. Hinkley,https://publications.aston.ac.uk/id/eprint/41900/1/fnins_14_00710.pdf,10,https://github.com/miketrumpis/xipy,github.com/miketrumpis/xipy,miketrumpis/xipy
A Self-Aware and Scalable Solution for Efficient Mobile-Cloud Hybrid Robotics,Aamir Akbar,https://publications.aston.ac.uk/id/eprint/41783/1/frobt_07_00102.pdf,9,https://github.com/jvheinerman/NEATThymio,github.com/jvheinerman/NEATThymio,jvheinerman/NEATThymio
A Self-Aware and Scalable Solution for Efficient Mobile-Cloud Hybrid Robotics,Aamir Akbar,https://publications.aston.ac.uk/id/eprint/41783/1/frobt_07_00102.pdf,9,https://github.com/aamirakbar/Creating-Hybrid-Level-Conﬁgurations-for-,github.com/aamirakbar/Creating-Hybrid-Level-Configurations-for-,aamirakbar/Creating-Hybrid-Level-Configurations-for-MC-hybrid-Apps
Grouping sentences as better language unit for extractive text summarization,Mengyun Cao,https://publications.aston.ac.uk/id/eprint/41419/1/FGCS2019_Group_for_Summarization_Online.pdf,19,https://github.com/alvations/pywsd,github.com/alvations/pywsd,alvations/pywsd
Grouping sentences as better language unit for extractive text summarization,Mengyun Cao,https://publications.aston.ac.uk/id/eprint/41419/1/FGCS2019_Group_for_Summarization_Online.pdf,37,https://github.com/Angela7126/Group_For_Summarization,github.com/Angela7126/Group_For_Summarization,Angela7126/Group_For_Summarization
Self-Sovereign Identity Specifications: Govern Your Identity Through Your Digital Wallet using Blockchain Technology,Nitin Naik,https://publications.aston.ac.uk/id/eprint/41998/1/SSI_Specifications_uPort_SovrinDrNitinNaik.pdf,4,https://github.com/ChristopherA/self-sovereign-identity/blob/,github.com/ChristopherA/self-sovereign-identity,ChristopherA/self-sovereign-identity
On the effects of pseudorandom and quantum-random number generators in soft computing,Jordan Bird,https://publications.aston.ac.uk/id/eprint/40854/1/Bird2019_Article_OnTheEffectsOfPseudorandomAndQ.pdf,8,https://github.com/keras-team/keras/tree/master/examples.,github.com/keras-team/keras,keras-team/keras
Requirements-aware models to support better informed decision-making for self-adaptation using partially observable Markov decision processes,Luis Hernan Garcia Paucar,https://publications.aston.ac.uk/id/eprint/41929/1/GARCIA_PAUCAR_LUIS_HERNAN_159211456_2019.pdf,94,https://github.com/AdaCompNUS/despot,github.com/AdaCompNUS/despot,AdaCompNUS/despot
The MOEADr Package – A Component-Based Framework for Multiobjective Evolutionary Algorithms Based on Decomposition,Felipe Campelo,https://publications.aston.ac.uk/id/eprint/38790/1/1807.06731.pdf,1,http://github.com/fcampelo/MOEADr.,github.com/fcampelo/MOEADr,fcampelo/MOEADr
Augmented YARA Rules Fused with Fuzzy Hashing in Ransomware Triaging,Nitin Naik,https://publications.aston.ac.uk/id/eprint/41999/1/SSCI_19_YARA_Rules_Fused_With_Fuzzy_Hashing_DrNaik.pdf,7,https://github.com/Neo23x0/yarGen,github.com/Neo23x0/yarGen,Neo23x0/yarGen
The TTC 2019 Live case:BibTex to docbook,Antonio García-Domínguez,https://publications.aston.ac.uk/id/eprint/42042/1/paper8.pdf,1,https://github.com/DiUS/java-faker,github.com/DiUS/java-faker,DiUS/java-faker
Parametrised second-order complexity theory with applications to the study of interval computation,Eike Neumann,https://publications.aston.ac.uk/id/eprint/39143/1/Parametrised_second_order_complexity_theory.pdf,31,"https://github.com/michalkonecny/aern2,",github.com/michalkonecny/aern,michalkonecny/aern
Breathing Rate and Work-of-Breathing Estimation using Real Biomedical Signals,Christina Kozia,https://publications.aston.ac.uk/id/eprint/44084/1/KOZIA_CHRISTINA_2020.pdf,225,https://github.com/peterhcharlton/RRest,github.com/peterhcharlton/RRest,peterhcharlton/RRest
An energy-efficient method for hybrid mobile cloud computing,Aamir Akbar,https://publications.aston.ac.uk/id/eprint/42578/1/Aamir_Akbar_119152818_2019.pdf,58,https://github.com/huberflores/CodeOffloadingAnnotations,github.com/huberflores/CodeOffloadingAnnotations,huberflores/CodeOffloadingAnnotations
An energy-efficient method for hybrid mobile cloud computing,Aamir Akbar,https://publications.aston.ac.uk/id/eprint/42578/1/Aamir_Akbar_119152818_2019.pdf,61,https://github.com/aamirakbar/Creating-Hybrid-Level-Configurations-for-MC-hybrid-Apps,github.com/aamirakbar/Creating-Hybrid-Level-Configurations-for-MC-hybrid-Apps,aamirakbar/Creating-Hybrid-Level-Configurations-for-MC-hybrid-Apps
An energy-efficient method for hybrid mobile cloud computing,Aamir Akbar,https://publications.aston.ac.uk/id/eprint/42578/1/Aamir_Akbar_119152818_2019.pdf,62,https://github.com/icasdri/Mather,github.com/icasdri/Mather,icasdri/Mather
An energy-efficient method for hybrid mobile cloud computing,Aamir Akbar,https://publications.aston.ac.uk/id/eprint/42578/1/Aamir_Akbar_119152818_2019.pdf,65,https://github.com/jvheinerman/NEATThymio,github.com/jvheinerman/NEATThymio,jvheinerman/NEATThymio
An energy-efficient method for hybrid mobile cloud computing,Aamir Akbar,https://publications.aston.ac.uk/id/eprint/42578/1/Aamir_Akbar_119152818_2019.pdf,69,https://github.com/msg555/PowerTutor,github.com/msg555/PowerTutor,msg555/PowerTutor
An energy-efficient method for hybrid mobile cloud computing,Aamir Akbar,https://publications.aston.ac.uk/id/eprint/42578/1/Aamir_Akbar_119152818_2019.pdf,72,https://github.com/dtmilano/AndroidViewClient/wiki,github.com/dtmilano/AndroidViewClient,dtmilano/AndroidViewClient
Investigation of police decision making using combined EEG and virtual reality methods,Nicholas Andrew Alexander,https://publications.aston.ac.uk/id/eprint/42445/1/ALEXANDER_NICHOLAS_ANDREW_160231177_2020.pdf,188,https://github.com/sccn/labstreaminglayer,github.com/sccn/labstreaminglayer,sccn/labstreaminglayer
Tuning metaheuristics by sequential optimisation of regression models,Áthila Trindade,https://publications.aston.ac.uk/id/eprint/40376/1/01_ASOC2019_TrindadeCampelo.pdf,10,https://github.com/fcampelo/MetaTuner).,github.com/fcampelo/MetaTuner,fcampelo/MetaTuner
Models@run.time:a Guided Tour of the State-of-the-Art and Research Challenges,Nelly Bencomo,https://publications.aston.ac.uk/id/eprint/37117/1/mrt_survey.pdf,3,https://github.com/sebastiangoetz/slr-toolkit/releases,github.com/sebastiangoetz/slr-toolkit,sebastiangoetz/slr-toolkit
Dysregulated oscillatory connectivity in the visual system in autism spectrum disorder,Robert A Seymour,https://publications.aston.ac.uk/id/eprint/39167/6/awz214.pdf,5,https://github.com/neurofractal/sensory_,github.com/neurofractal/sensory_,neurofractal/sensory_PAC
Novel instrumented frame for standing exercising of users with complete spinal cord injuries,Ioannis D Zoulias,https://publications.aston.ac.uk/id/eprint/40343/1/s41598_019_49237_3.pdf,10,https://github.com/sccn/labstreaminglayer.,github.com/sccn/labstreaminglayer,sccn/labstreaminglayer
Genome-wide association analysis of self-reported daytime sleepiness identifies 42 loci that suggest biological subtypes,Heming Wang,https://publications.aston.ac.uk/id/eprint/40176/1/Genome_wide_association_analysis_of_self_reported_daytime_sleepiness.pdf,7,https://github.com/digitalinteraction/openmovement),github.com/digitalinteraction/openmovement,digitalinteraction/openmovement
The importance of granularity in multiobjective optimization of mobile cloud hybrid applications,Aamir Akbar,https://publications.aston.ac.uk/id/eprint/37310/1/Akbar_et_al_2018_Transactions_on_Emerging_Telecommunications_Technologies.pdf,7,https://github.com/icasdri/Mather,github.com/icasdri/Mather,icasdri/Mather
