title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url
Management and Evaluation of the Performance of end-to-end 5G Inter/Intra Slicing using Machine Learning in a Sustainable Environment,Noor Abdalkarem Mohammedali,https://eprints.glos.ac.uk/12593/1/12593-Al-Sherbaz-%282023%29-Management-and-Evaluation-of-the-Performance-of-end-to-end-5G.pdf,12,"https://github.com/aligungr/UERANSIM,",github.com/aligungr/UERANSIM,aligungr/UERANSIM
Exploring the evolution of GIS research using bibliographic data,Robert Berry,https://eprints.glos.ac.uk/12639/8/12639%20Berry%2C%20Hafferty%2C%20Scott%2C%20Clarke%20%282023%29%20Exploring%20the%20evolution%20of%20GIS%20research%20using%20bibliographic%20data.pdf,2,https://github.com/robertberryuk/GIS-Topics-Dev/blob/main/ScopusSearch_Berry_etal_2023.txt,github.com/robertberryuk/GIS-Topics-Dev,robertberryuk/GIS-Topics-Dev
"Augmented Behavioral Annotation Tools, with Application to Multimodal Datasets and Models: A Systematic Review",Eleanor Watson,https://eprints.glos.ac.uk/12318/1/ai-04-00007-v2.pdf,32,https://github.com/mttr2021/MTTR,github.com/mttr2021/MTTR,mttr2021/MTTR
"Augmented Behavioral Annotation Tools, with Application to Multimodal Datasets and Models: A Systematic Review",Eleanor Watson,https://eprints.glos.ac.uk/12318/1/ai-04-00007-v2.pdf,37,https://github.com/deepmind/meltingpot,github.com/deepmind/meltingpot,deepmind/meltingpot
"Augmented Behavioral Annotation Tools, with Application to Multimodal Datasets and Models: A Systematic Review",Eleanor Watson,https://eprints.glos.ac.uk/12318/1/ai-04-00007-v2.pdf,42,https://github.com/facebookresearch/metaseq/tree/,github.com/facebookresearch/metaseq,facebookresearch/metaseq
"Augmented Behavioral Annotation Tools, with Application to Multimodal Datasets and Models: A Systematic Review",Eleanor Watson,https://eprints.glos.ac.uk/12318/1/ai-04-00007-v2.pdf,43,https://github.com/huggingface/transformers,github.com/huggingface/transformers,huggingface/transformers
"Augmented Behavioral Annotation Tools, with Application to Multimodal Datasets and Models: A Systematic Review",Eleanor Watson,https://eprints.glos.ac.uk/12318/1/ai-04-00007-v2.pdf,43,https://github.com/oughtinc/ice,github.com/oughtinc/ice,oughtinc/ice
"Augmented Behavioral Annotation Tools, with Application to Multimodal Datasets and Models: A Systematic Review",Eleanor Watson,https://eprints.glos.ac.uk/12318/1/ai-04-00007-v2.pdf,43,https://github.com/alignedai/HappyFaces,github.com/alignedai/HappyFaces,alignedai/HappyFaces
Quality of Experience Experimentation Prediction Framework through Programmable Network Management,Ahmed Osama Basil Al-Mashhadani,https://eprints.glos.ac.uk/11877/1/11877Al-Mashhadani%2C%20Mu%20and%20Al-Sherbaz%20%282022%29%20Quality_of_Experience_Experimentation_Prediction_Framework_through_Programmable_Network_Management.pdf,17,https://github.com/AhmedOsamaBasil/PhD,github.com/AhmedOsamaBasil/PhD,AhmedOsamaBasil/PhD
EMM-LC Fusion: Enhanced Multimodal Fusion for Lung Cancer Classification,James Barret,https://eprints.glos.ac.uk/11448/1/ai-03-00038.pdf,20,https://github.com/jb4rr/EMM-LC-Fusion.,github.com/jb4rr/EMM-LC-Fusion,jb4rr/EMM-LC-Fusion
Investigating Online Fan Responses to the Rooney Rule in English Football,Daniel Kilvington,https://eprints.glos.ac.uk/10922/16/10922-Cable-%282022%29-Investigating-online-fan-responses%20%281%29.pdf,10,https://github.com/twintproject/twint.,github.com/twintproject/twint,twintproject/twint
Deep Learning Approach for Real-time Video Streaming Traffic Classification,Mohammed Al Jameel,https://eprints.glos.ac.uk/11261/1/11261-Al-Sherbaz-Deep-learning-approach-for-%20real-time-video-streaming-traffic-classification.pdf,7,https://github.com/mo7ammedfadhil/Video-streaming-dataset,github.com/mo7ammedfadhil/Video-streaming-dataset,mo7ammedfadhil/Video-streaming-dataset
Evidence of similarities in ecosystem service flow across the rural–urban spectrum,Indunee Welivita,https://eprints.glos.ac.uk/9572/8/9572-Bundhoo-%282021%29-Evidence-of-similarities-in-ecosystem-service-flow.pdf,4,https://github.com/InduneeWelivita/Household-survey-questionnaire-RUST-,github.com/InduneeWelivita/Household-survey-questionnaire-RUST-,InduneeWelivita/Household-survey-questionnaire-RUST-project
The Treatment of Advanced Persistent Threats on Windows Based Systems,Peter Bentley,https://eprints.glos.ac.uk/10332/1/10332_P_%20Bentley_%20PhD_%20Thesis_The_Treatment_of_Advanced_Persistent_Threats_on_Windows_Based_Systems.pdf,333,https://github.com/kusano/ntfsdump,github.com/kusano/ntfsdump,kusano/ntfsdump
The Treatment of Advanced Persistent Threats on Windows Based Systems,Peter Bentley,https://eprints.glos.ac.uk/10332/1/10332_P_%20Bentley_%20PhD_%20Thesis_The_Treatment_of_Advanced_Persistent_Threats_on_Windows_Based_Systems.pdf,333,https://github.com/YajS/NikPEViewer,github.com/YajS/NikPEViewer,YajS/NikPEViewer
Assessing SHINE features in the Lake District National Park using the NCA/Cultural Capital process,John R Powell,https://eprints.glos.ac.uk/9620/7/9620-Powell-%282020%29-Assessing-SHINE-features-in-the-Lake-District.pdf,41,https://github.com/robertberryuk/SHINE,github.com/robertberryuk/SHINE,robertberryuk/SHINE
Assessing SHINE features in the Lake District National Park using the NCA/Cultural Capital process: Summary,John R Powell,https://eprints.glos.ac.uk/9621/7/9621-Berry-%282020%29-Assessing-SHINE-features-in-the-Lake-District.pdf,4,https://github.com/robertberryuk/SHINE,github.com/robertberryuk/SHINE,robertberryuk/SHINE
"LANDMAP and the Clwydian Range and Dee Valley AONB
maps and statistics",Robert Berry,https://eprints.glos.ac.uk/8962/7/8962-Berry-%282020%29-LANDMAP-and-the-Clwydian-Range.pdf,30,https://github.com/robertberryuk/CRDV_AONB.,github.com/robertberryuk/CRDV_AONB,robertberryuk/CRDV_AONB
CD4+ T Cells Recognize Conserved Influenza A Epitopes through Shared Patterns of V-Gene Usage and Complementary Biochemical Features,Alexander Greenshields-Watson,https://eprints.glos.ac.uk/11742/1/11742%20Hulin-Curtis%20et%20al%20%282020%29%20CD4%2B%20T%20Cells%20Recognize%20Conserved%20Influenza%20A%20Epitopes%20through%20Shared%20Patterns%20of%20V-Gene%20Usage%20and%20Complementary%20Biochemica.pdf,18,https://github.com/WhalleyT/STACEI,github.com/WhalleyT/STACEI,WhalleyT/STACEI
CD4+ T Cells Recognize Conserved Influenza A Epitopes through Shared Patterns of V-Gene Usage and Complementary Biochemical Features,Alexander Greenshields-Watson,https://eprints.glos.ac.uk/11742/1/11742%20Hulin-Curtis%20et%20al%20%282020%29%20CD4%2B%20T%20Cells%20Recognize%20Conserved%20Influenza%20A%20Epitopes%20through%20Shared%20Patterns%20of%20V-Gene%20Usage%20and%20Complementary%20Biochemica.pdf,18,https://github.com/milaboratory/mixcr,github.com/milaboratory/mixcr,milaboratory/mixcr
CD4+ T Cells Recognize Conserved Influenza A Epitopes through Shared Patterns of V-Gene Usage and Complementary Biochemical Features,Alexander Greenshields-Watson,https://eprints.glos.ac.uk/11742/1/11742%20Hulin-Curtis%20et%20al%20%282020%29%20CD4%2B%20T%20Cells%20Recognize%20Conserved%20Influenza%20A%20Epitopes%20through%20Shared%20Patterns%20of%20V-Gene%20Usage%20and%20Complementary%20Biochemica.pdf,19,https://github.com/statbiophys/OLGA,github.com/statbiophys/OLGA,statbiophys/OLGA
CD4+ T Cells Recognize Conserved Influenza A Epitopes through Shared Patterns of V-Gene Usage and Complementary Biochemical Features,Alexander Greenshields-Watson,https://eprints.glos.ac.uk/11742/1/11742%20Hulin-Curtis%20et%20al%20%282020%29%20CD4%2B%20T%20Cells%20Recognize%20Conserved%20Influenza%20A%20Epitopes%20through%20Shared%20Patterns%20of%20V-Gene%20Usage%20and%20Complementary%20Biochemica.pdf,23,https://github.com/ALGW71/ConservedEpitopesIAV].,github.com/ALGW71/ConservedEpitopesIAV,ALGW71/ConservedEpitopesIAV
"LANDMAP, landscape and a changing climate in the Designated Landscapes, Wales",Robert Berry,https://eprints.glos.ac.uk/8212/9/8212-Berry-%282020%29-LANDMAP-landscape-and-a-changing-climate.pdf,212,https://github.com/robertberryuk/LANDMAPClimate_Designated_Landscapes.,github.com/robertberryuk/LANDMAPClimate_Designated_Landscapes,robertberryuk/LANDMAPClimate_Designated_Landscapes
Detection of Phishing Websites using Generative Adversarial Network,Pierrick Robic–Butez,https://eprints.glos.ac.uk/8528/1/8528%20Robic%E2%80%93Butez%2C%20Win%20%282019%29%20Detection-of-Phishing-websites-using-Generative-Adversarial-Network.pdf,5,https://github.com/Khuzdz/PhishGan/blob/master/DB/How,github.com/Khuzdz/PhishGan,Khuzdz/PhishGan
"LANDMAP, Landscape and a Changing Climate",Robert Berry,https://eprints.glos.ac.uk/6722/1/LANDMAP%2C%20Landscape%20and%20a%20Changing%20Climate_Final_Report_CCRI.pdf,19,https://github.com/robertberryuk/LANDMAP_ClimateChange.,github.com/robertberryuk/LANDMAP_ClimateChange,robertberryuk/LANDMAP_ClimateChange
CloudIntell: An intelligent malware detection system,Qublai Khan Ali Mirza,https://eprints.glos.ac.uk/5958/1/5958%20Ali%20Mizra%20%282018%29%20CloudIntell.pdf,36,https://github.com/guelfoweb/peframe.,github.com/guelfoweb/peframe,guelfoweb/peframe
"Can I click it? Yes you can: Sport Journalism, Twitter, and Clickbait",Jonathan Cable,https://eprints.glos.ac.uk/5425/8/5425%20Cable%20%282018%29%20Can%20I%20click%20it.pdf,5,https://github.com/bpb27/twitter_scraping),github.com/bpb27/twitter_scraping,bpb27/twitter_scraping
Shifting between mental sets: An individual differences approach to commonalities and differences of task switching components,Claudia C von Bastian,https://eprints.glos.ac.uk/5147/1/5147%20-%20Druey%20-%202017%20-%20Shifting%20between%20mental%20sets.pdf,24,https://github.com/simsem/simsem,github.com/simsem/simsem,simsem/simsem
