title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url
The design and engineering of a fall and near-fall detection electronic textile,Z Rahemtulla,https://irep.ntu.ac.uk/id/eprint/48459/1/1738140_Hughes-Riley.pdf,17,https://github.com/adafruit/Adafruit_,github.com/adafruit/Adafruit_,adafruit/Adafruit_CAN
An attention-based hybrid architecture with explainability for depressive social media text detection in Bangla,T Ghosh,https://irep.ntu.ac.uk/id/eprint/47398/1/1618450_Mahmud.pdf,16,https://github.com/sagorbrur/GloVe-Bengali.,github.com/sagorbrur/GloVe-Bengali,sagorbrur/GloVe-Bengali
Non-standard errors,AJ Menkveld,https://irep.ntu.ac.uk/id/eprint/48370/1/1732822_Dao.pdf,31,https://github.com/uwdata/boba.,github.com/uwdata/boba,uwdata/boba
Pore topology analysis in porous molecular systems,V Anipa,https://irep.ntu.ac.uk/id/eprint/48313/1/1731166_Addicoat.pdf,0,https://github.com/andrewtarzia/cage_datasets/tree/master/databases/,github.com/andrewtarzia/cage_datasets,andrewtarzia/cage_datasets
Pore topology analysis in porous molecular systems,V Anipa,https://irep.ntu.ac.uk/id/eprint/48313/1/1731166_Addicoat.pdf,13,https://github.com/andrewtarzia/cage_collect/),github.com/andrewtarzia/cage_collect,andrewtarzia/cage_collect
Gut dysbiosis in experimental kidney disease: a meta-analysis of rodent repository data,DW Randall,https://irep.ntu.ac.uk/id/eprint/48451/1/1728423_Hoyles.pdf,11,"https://github.com/FrederickHuangLin/ANCOM,",github.com/FrederickHuangLin/ANCOM,FrederickHuangLin/ANCOM
COVIDiSTRESS diverse dataset on psychological and behavioural outcomes one year into the COVID-19 pandemic,AM Blackburn,https://irep.ntu.ac.uk/id/eprint/46520/1/1561143_Kontogianni.pdf,6,https://github.com/CSSEGISandData/COVID-19)44,github.com/CSSEGISandData/COVID-,CSSEGISandData/COVID-19
Reduced injury risk links sociality to survival in a group-living primate,MA Pavez-Fox,https://irep.ntu.ac.uk/id/eprint/48397/1/1734969_Kimock.pdf,13,https://github.com/MPavFox/Injury-and-,github.com/MPavFox/Injury-and-,MPavFox/Injury-and-survival
D4.4 - Report on developed methodologies and models for techno-economic modelling of PEDs and the transition towards their realisation,L Casamassima,https://irep.ntu.ac.uk/id/eprint/47195/1/1604858_Galanakis.pdf,28,https://github.com/urbLexa/PEDso.,github.com/urbLexa/PEDso,urbLexa/PEDso
Advanced ultrasonic ambient ionisation sources for mass spectrometry and microdroplet accelerated reactions,HJ Taylor,https://irep.ntu.ac.uk/id/eprint/48288/1/Harry%20Taylor%202023.pdf,137,https://github.com/HarryTaylor1296/PhD-Thesis-Code.,github.com/HarryTaylor1296/PhD-Thesis-Code,HarryTaylor1296/PhD-Thesis-Code
