title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url
Asynchronous events-based panoptic segmentation using graph mixer neural network,Sanket Kachole,https://eprints.kingston.ac.uk/id/eprint/53736/6/Kachole-S-53736-AAM.pdf,1,https://github.com/sanket0707/GNN-Mixer.git,github.com/sanket0707/GNN-Mixer,sanket0707/GNN-Mixer
"Modeling nationalism, religiosity, and threat perception : during the COVID-19 pandemic",Josh Bullock,https://eprints.kingston.ac.uk/id/eprint/53659/1/Bullock-J-53659-VoR.pdf,18,https://github.com/alan-analytics/kingstonThreatStudy).,github.com/alan-analytics/kingstonThreatStudy,alan-analytics/kingstonThreatStudy
Datasets for the quality assessment of light field imaging : comparison and future directions,Edris Shafiee,https://eprints.kingston.ac.uk/id/eprint/53099/1/Shafiee-E-53099-VoR.pdf,14,https://github.com/pratulsrinivasan/Local_Light_Field_Synthesis,github.com/pratulsrinivasan/Local_Light_Field_Synthesis,pratulsrinivasan/Local_Light_Field_Synthesis
"Situational factors shape moral judgements in the trolley dilemma in Eastern, Southern and Western countries in a culturally diverse sample",Bence Bago,https://eprints.kingston.ac.uk/id/eprint/51652/1/Felisberti-F-51652-AAM.pdf,25,https://github.com/marton-balazs-kovacs/trolleyMultilabReplication/tree/master/data.,github.com/marton-balazs-kovacs/trolleyMultilabReplication,marton-balazs-kovacs/trolleyMultilabReplication
"User generated HDR gaming video streaming : dataset, codec comparison and challenges",Nabajeet Barman,https://eprints.kingston.ac.uk/id/eprint/49080/6/Barman-N-49080-1-AAM.pdf,1,https://github.com/NabajeetBarman/GamingHDRVideoSET.,github.com/NabajeetBarman/GamingHDRVideoSET,NabajeetBarman/GamingHDRVideoSET
ECM degradation in the 'Drosophila' abdominal epidermis initiates tissue growth that ceases with rapid cell-cycle exit,John Robert Davis,https://eprints.kingston.ac.uk/id/eprint/51208/1/Hoppe-A-51208-VoR.pdf,18,https://github.com/drjrdavis/Skeletor,github.com/drjrdavis/Skeletor,drjrdavis/Skeletor
Camera animation for immersive light field imaging,Mary Guindy,https://eprints.kingston.ac.uk/id/eprint/52215/1/Kara-P-52215-VoR.pdf,16,https://github.com/bulletphysics/bullet3/raw/master/docs/,github.com/bulletphysics/bullet,bulletphysics/bullet3
Refinement of the extended crosswise model with a number sequence randomizer : evidence from three different studies in the UK,Khadiga H. A. Sayed,https://eprints.kingston.ac.uk/id/eprint/52975/1/Petroczi-A-52975-VoR.pdf,6,https://github.com/Khadiga-S/ecwm.,github.com/Khadiga-S/ecwm,Khadiga-S/ecwm
Automated functional analysis of patents for producing design insight,Pingfei Jiang,https://eprints.kingston.ac.uk/id/eprint/49311/6/Jiang-P-49311-VoR.pdf,9,https://github.com/xflr6/graphviz,github.com/xflr6/graphviz,xflr6/graphviz
"How music AI is useful : engagements with composers, performers, and audiences",Oded Ben-Tal,https://eprints.kingston.ac.uk/id/eprint/47015/1/Ben-Tal-O-47015-AAM.pdf,3,https://github.com/tobyspark/folk-rnn-webapp,github.com/tobyspark/folk-rnn-webapp,tobyspark/folk-rnn-webapp
"How music AI is useful : engagements with composers, performers, and audiences",Oded Ben-Tal,https://eprints.kingston.ac.uk/id/eprint/47015/1/Ben-Tal-O-47015-AAM.pdf,13,https://github.com/IraKorshunova/folk-rnn,github.com/IraKorshunova/folk-rnn,IraKorshunova/folk-rnn
Similarity model using gradient images to compare human and AI agents,Gordon Johnson,https://eprints.kingston.ac.uk/id/eprint/51077/1/Johnson-G-51077-AAM.pdf,5,https://github.com/CodeReclaimers/neat-python.,github.com/CodeReclaimers/neat-python,CodeReclaimers/neat-python
Dispelling illusions of truth : exploring the factors that lead to inflated truth judgements,Emma Henderson,https://eprints.kingston.ac.uk/id/eprint/53500/1/Henderson-E.pdf,194,https://github.com/rstudio/rmarkdown,github.com/rstudio/rmarkdown,rstudio/rmarkdown
Dispelling illusions of truth : exploring the factors that lead to inflated truth judgements,Emma Henderson,https://eprints.kingston.ac.uk/id/eprint/53500/1/Henderson-E.pdf,195,https://github.com/crsh/papaja,github.com/crsh/papaja,crsh/papaja
Scene and crowd analysis using synthetic data generation with 3D quality improvements and deep network architectures,Anish Khadka,https://eprints.kingston.ac.uk/id/eprint/50540/1/Khadka-A-50540.pdf,109,https://github.com/svishwa/crowdcount-cascaded-mtl,github.com/svishwa/crowdcount-cascaded-mtl,svishwa/crowdcount-cascaded-mtl
Scene and crowd analysis using synthetic data generation with 3D quality improvements and deep network architectures,Anish Khadka,https://eprints.kingston.ac.uk/id/eprint/50540/1/Khadka-A-50540.pdf,109,https://github.com/shizenglin/Deep-NCL,github.com/shizenglin/Deep-NCL,shizenglin/Deep-NCL
Scene and crowd analysis using synthetic data generation with 3D quality improvements and deep network architectures,Anish Khadka,https://eprints.kingston.ac.uk/id/eprint/50540/1/Khadka-A-50540.pdf,109,https://github.com/leeyeehoo/CSRNet-pytorch,github.com/leeyeehoo/CSRNet-pytorch,leeyeehoo/CSRNet-pytorch
Scene and crowd analysis using synthetic data generation with 3D quality improvements and deep network architectures,Anish Khadka,https://eprints.kingston.ac.uk/id/eprint/50540/1/Khadka-A-50540.pdf,109,https://github.com/wk910930/crowd_density_segmentation,github.com/wk910930/crowd_density_segmentation,wk910930/crowd_density_segmentation
Time aggregation based lossless video encoding for neuromorphic vision sensor data,Nabeel Khan,https://eprints.kingston.ac.uk/id/eprint/45886/6/Khan-N-45886-AAM.pdf,13,https://github.com/google/snappy.,github.com/google/snappy,google/snappy
Transforming Higher Education systems architectures through adoption of secure overlay blockchain technologies,Foysal Miah,https://eprints.kingston.ac.uk/id/eprint/47787/11/Miah-F-47787-AAM.pdf,12,https://github.com/FoysalM/ASTER,github.com/FoysalM/ASTER,FoysalM/ASTER
Reduction of energy consumption using smart home techniques in the household sector,Ahmed Al-Adaileh,https://eprints.kingston.ac.uk/id/eprint/47998/2/Al-Adaileh-A-47998-VoR.pdf,12,https://github.com/oberasoftware/zwave.,github.com/oberasoftware/zwave,oberasoftware/zwave
Modelling threat causation for religiosity and Nationalism in Europe,Josh Bullock,https://eprints.kingston.ac.uk/id/eprint/47724/6/Buollock-J-47724.pdf,30,https://github.com/cogijl/kingstonThreatStudy,github.com/cogijl/kingstonThreatStudy,cogijl/kingstonThreatStudy
DEMI : deep video quality estimation model using perceptual video quality dimensions,Saman Zadtootaghaj,https://eprints.kingston.ac.uk/id/eprint/46902/11/Barman-N-46902-AAM.pdf,1,https://github.com/stootaghaj/DEMI,github.com/stootaghaj/DEMI,stootaghaj/DEMI
DEMI : deep video quality estimation model using perceptual video quality dimensions,Saman Zadtootaghaj,https://eprints.kingston.ac.uk/id/eprint/46902/11/Barman-N-46902-AAM.pdf,6,https://github.com/Netﬂix/vmaf/blob/master/,github.com/Netflix/vmaf,Netflix/vmaf
A large-scale evaluation of the bitstream-based video-quality model ITU-T P.1204.3 on gaming content,Rakesh Rao Ramachandra Rao,https://eprints.kingston.ac.uk/id/eprint/48166/1/Barman-N-48166-AAM.pdf,6,https://github.com/Netﬂix/vmaf,github.com/Netflix/vmaf,Netflix/vmaf
Dynamic-vision-based force measurements using convolutional recurrent neural networks,Fariborz Baghaei Naeini,https://eprints.kingston.ac.uk/id/eprint/46738/7/Baghaei-Naeini-F-46738-VoR.pdf,14,https://github.com/fchollet/keras,github.com/fchollet/keras,fchollet/keras
Latent Bernoulli autoencoder,Jiri Fajtl,https://eprints.kingston.ac.uk/id/eprint/45799/1/Fajtl-J-45799-AAM.pdf,1,https://github.com/ok1zjf/lbae,github.com/ok1zjf/lbae,ok1zjf/lbae
Latent Bernoulli autoencoder,Jiri Fajtl,https://eprints.kingston.ac.uk/id/eprint/45799/1/Fajtl-J-45799-AAM.pdf,5,https://github.com/bioinf-jku/TTUR,github.com/bioinf-jku/TTUR,bioinf-jku/TTUR
